	gset	source	perc	value	type
0	ADaM2021	AVANA	0.05	0.3104852522848477	Data-driven RTs
1	ADaM2021	AVANA	0.1	0.3241472961436271	Data-driven RTs
2	ADaM2021	AVANA	0.15	0.3444484116340431	Data-driven RTs
3	ADaM2021	AVANA	0.2	0.3610276989482029	Data-driven RTs
4	ADaM2021	AVANA	0.25	0.37981742996001	Data-driven RTs
5	ADaM2021	AVANA	0.3	0.4024810503556649	Data-driven RTs
6	ADaM2021	AVANA	0.35	0.4164789104473967	Data-driven RTs
7	ADaM2021	AVANA	0.4	0.4338756238285963	Data-driven RTs
8	ADaM2021	AVANA	0.45	0.448935312415017	Data-driven RTs
9	ADaM2021	AVANA	0.5	0.4721960504404868	Data-driven RTs
10	ADaM2021	AVANA	0.55	0.4902323823580668	Data-driven RTs
11	ADaM2021	AVANA	0.6	0.5091369483439032	Data-driven RTs
12	ADaM2021	AVANA	0.65	0.5337218736614467	Data-driven RTs
13	ADaM2021	AVANA	0.7	0.5598384204447857	Data-driven RTs
14	ADaM2021	AVANA	0.75	0.5954568538045246	Data-driven RTs
15	ADaM2021	AVANA	0.8	0.625648267141137	Data-driven RTs
16	ADaM2021	AVANA	0.85	0.6627174744368686	Data-driven RTs
17	ADaM2021	AVANA	0.9	0.7115157607242673	Data-driven RTs
18	ADaM2021	AVANA	0.95	0.7885558207900163	Data-driven RTs
19	ADaM2021	KY	0.05	0.3237878272003418	Data-driven RTs
20	ADaM2021	KY	0.1	0.3857724039077229	Data-driven RTs
21	ADaM2021	KY	0.15	0.4069947900805503	Data-driven RTs
22	ADaM2021	KY	0.2	0.4264322619187582	Data-driven RTs
23	ADaM2021	KY	0.25	0.4522955623798599	Data-driven RTs
24	ADaM2021	KY	0.3	0.4699885960657324	Data-driven RTs
25	ADaM2021	KY	0.35	0.4884779991496091	Data-driven RTs
26	ADaM2021	KY	0.4	0.5093357025067838	Data-driven RTs
27	ADaM2021	KY	0.45	0.5276739111511234	Data-driven RTs
28	ADaM2021	KY	0.5	0.5413386574496485	Data-driven RTs
29	ADaM2021	KY	0.55	0.5612334826425307	Data-driven RTs
30	ADaM2021	KY	0.6	0.5846737554694021	Data-driven RTs
31	ADaM2021	KY	0.65	0.6094931027502325	Data-driven RTs
32	ADaM2021	KY	0.7	0.6352496289836157	Data-driven RTs
33	ADaM2021	KY	0.75	0.6602800978335238	Data-driven RTs
34	ADaM2021	KY	0.8	0.695948802551231	Data-driven RTs
35	ADaM2021	KY	0.85	0.7352141366350862	Data-driven RTs
36	ADaM2021	KY	0.9	0.7860926162730246	Data-driven RTs
37	ADaM2021	KY	0.95	0.8537935638247015	Data-driven RTs
38	Hart2017	AVANA	0.05	0.2646933915430283	Data-driven RTs
39	Hart2017	AVANA	0.1	0.2788892273208316	Data-driven RTs
40	Hart2017	AVANA	0.15	0.2963263547847339	Data-driven RTs
41	Hart2017	AVANA	0.2	0.3113497970888011	Data-driven RTs
42	Hart2017	AVANA	0.25	0.3281955556642959	Data-driven RTs
43	Hart2017	AVANA	0.3	0.3464726335604247	Data-driven RTs
44	Hart2017	AVANA	0.35	0.3576548932280509	Data-driven RTs
45	Hart2017	AVANA	0.4	0.3737103790367966	Data-driven RTs
46	Hart2017	AVANA	0.45	0.3893817542496059	Data-driven RTs
47	Hart2017	AVANA	0.5	0.4086808512448541	Data-driven RTs
48	Hart2017	AVANA	0.55	0.4221926815624813	Data-driven RTs
49	Hart2017	AVANA	0.6	0.4383677316320081	Data-driven RTs
50	Hart2017	AVANA	0.65	0.4590009467055237	Data-driven RTs
51	Hart2017	AVANA	0.7	0.4844307941081708	Data-driven RTs
52	Hart2017	AVANA	0.75	0.5178344459303793	Data-driven RTs
53	Hart2017	AVANA	0.8	0.5461853737259201	Data-driven RTs
54	Hart2017	AVANA	0.85	0.5804390393412925	Data-driven RTs
55	Hart2017	AVANA	0.9	0.6264780329843359	Data-driven RTs
56	Hart2017	AVANA	0.95	0.7028440021686554	Data-driven RTs
57	Hart2017	KY	0.05	0.2748275641376016	Data-driven RTs
58	Hart2017	KY	0.1	0.3366355693898972	Data-driven RTs
59	Hart2017	KY	0.15	0.3579198450255397	Data-driven RTs
60	Hart2017	KY	0.2	0.3779134813897484	Data-driven RTs
61	Hart2017	KY	0.25	0.4011969357024872	Data-driven RTs
62	Hart2017	KY	0.3	0.4169467207455266	Data-driven RTs
63	Hart2017	KY	0.35	0.4326299105418384	Data-driven RTs
64	Hart2017	KY	0.4	0.4511422419694542	Data-driven RTs
65	Hart2017	KY	0.45	0.4690734270497229	Data-driven RTs
66	Hart2017	KY	0.5	0.4846508325958683	Data-driven RTs
67	Hart2017	KY	0.55	0.5062867314474528	Data-driven RTs
68	Hart2017	KY	0.6	0.5301932577749844	Data-driven RTs
69	Hart2017	KY	0.65	0.5548643783612446	Data-driven RTs
70	Hart2017	KY	0.7	0.5795795749151681	Data-driven RTs
71	Hart2017	KY	0.75	0.6057760971640757	Data-driven RTs
72	Hart2017	KY	0.8	0.6423606311644181	Data-driven RTs
73	Hart2017	KY	0.85	0.6824192360607165	Data-driven RTs
74	Hart2017	KY	0.9	0.7381552036896395	Data-driven RTs
75	Hart2017	KY	0.95	0.8170872867859167	Data-driven RTs
76	ADaM2021	AVANA	0.05	0.8606466026713647	"MinTEs Reduced
Templates (RTs)"
77	ADaM2021	AVANA	0.1	0.8868460697068982	"MinTEs Reduced
Templates (RTs)"
78	ADaM2021	AVANA	0.15	0.9128837889074336	"MinTEs Reduced
Templates (RTs)"
79	ADaM2021	AVANA	0.2	0.9157002967422972	"MinTEs Reduced
Templates (RTs)"
80	ADaM2021	AVANA	0.25	0.929332478284698	"MinTEs Reduced
Templates (RTs)"
81	ADaM2021	AVANA	0.3	0.931629896427882	"MinTEs Reduced
Templates (RTs)"
82	ADaM2021	AVANA	0.35	0.9423689450819934	"MinTEs Reduced
Templates (RTs)"
83	ADaM2021	AVANA	0.4	0.9448227125836686	"MinTEs Reduced
Templates (RTs)"
84	ADaM2021	AVANA	0.45	0.9478108866627712	"MinTEs Reduced
Templates (RTs)"
85	ADaM2021	AVANA	0.5	0.95314907176269	"MinTEs Reduced
Templates (RTs)"
86	ADaM2021	AVANA	0.55	0.9606123352973076	"MinTEs Reduced
Templates (RTs)"
87	ADaM2021	AVANA	0.6	0.9608167870056826	"MinTEs Reduced
Templates (RTs)"
88	ADaM2021	AVANA	0.65	0.966766630650402	"MinTEs Reduced
Templates (RTs)"
89	ADaM2021	AVANA	0.7	0.9667118733897284	"MinTEs Reduced
Templates (RTs)"
90	ADaM2021	AVANA	0.75	0.9691607622744636	"MinTEs Reduced
Templates (RTs)"
91	ADaM2021	AVANA	0.8	0.9728626444553232	"MinTEs Reduced
Templates (RTs)"
92	ADaM2021	AVANA	0.85	0.9777719241884618	"MinTEs Reduced
Templates (RTs)"
93	ADaM2021	AVANA	0.9	0.9804861638832946	"MinTEs Reduced
Templates (RTs)"
94	ADaM2021	AVANA	0.95	0.9872187912317604	"MinTEs Reduced
Templates (RTs)"
95	ADaM2021	KY	0.05	0.886095459392637	"MinTEs Reduced
Templates (RTs)"
96	ADaM2021	KY	0.1	0.920379083732502	"MinTEs Reduced
Templates (RTs)"
97	ADaM2021	KY	0.15	0.9362006842364936	"MinTEs Reduced
Templates (RTs)"
98	ADaM2021	KY	0.2	0.9487929654126548	"MinTEs Reduced
Templates (RTs)"
99	ADaM2021	KY	0.25	0.9526656399219772	"MinTEs Reduced
Templates (RTs)"
100	ADaM2021	KY	0.3	0.9483044553741954	"MinTEs Reduced
Templates (RTs)"
101	ADaM2021	KY	0.35	0.9626425508850528	"MinTEs Reduced
Templates (RTs)"
102	ADaM2021	KY	0.4	0.9669113683206833	"MinTEs Reduced
Templates (RTs)"
103	ADaM2021	KY	0.45	0.9660623295520324	"MinTEs Reduced
Templates (RTs)"
104	ADaM2021	KY	0.5	0.970364013433497	"MinTEs Reduced
Templates (RTs)"
105	ADaM2021	KY	0.55	0.9746768297414102	"MinTEs Reduced
Templates (RTs)"
106	ADaM2021	KY	0.6	0.9754943501768878	"MinTEs Reduced
Templates (RTs)"
107	ADaM2021	KY	0.65	0.9796411612442508	"MinTEs Reduced
Templates (RTs)"
108	ADaM2021	KY	0.7	0.980002213001418	"MinTEs Reduced
Templates (RTs)"
109	ADaM2021	KY	0.75	0.9831672109261028	"MinTEs Reduced
Templates (RTs)"
110	ADaM2021	KY	0.8	0.9853195299558348	"MinTEs Reduced
Templates (RTs)"
111	ADaM2021	KY	0.85	0.987239511065049	"MinTEs Reduced
Templates (RTs)"
112	ADaM2021	KY	0.9	0.9890574625039656	"MinTEs Reduced
Templates (RTs)"
113	ADaM2021	KY	0.95	0.993092330407179	"MinTEs Reduced
Templates (RTs)"
114	Hart2017	AVANA	0.05	0.820405367816794	"MinTEs Reduced
Templates (RTs)"
115	Hart2017	AVANA	0.1	0.8416593222014129	"MinTEs Reduced
Templates (RTs)"
116	Hart2017	AVANA	0.15	0.85816804820605	"MinTEs Reduced
Templates (RTs)"
117	Hart2017	AVANA	0.2	0.877242220042363	"MinTEs Reduced
Templates (RTs)"
118	Hart2017	AVANA	0.25	0.8784102348420574	"MinTEs Reduced
Templates (RTs)"
119	Hart2017	AVANA	0.3	0.8926103684657208	"MinTEs Reduced
Templates (RTs)"
120	Hart2017	AVANA	0.35	0.9026616576459168	"MinTEs Reduced
Templates (RTs)"
121	Hart2017	AVANA	0.4	0.9057222448193282	"MinTEs Reduced
Templates (RTs)"
122	Hart2017	AVANA	0.45	0.9171187264691536	"MinTEs Reduced
Templates (RTs)"
123	Hart2017	AVANA	0.5	0.9248411160184018	"MinTEs Reduced
Templates (RTs)"
124	Hart2017	AVANA	0.55	0.9341428215848904	"MinTEs Reduced
Templates (RTs)"
125	Hart2017	AVANA	0.6	0.9386880905711324	"MinTEs Reduced
Templates (RTs)"
126	Hart2017	AVANA	0.65	0.9383052739732364	"MinTEs Reduced
Templates (RTs)"
127	Hart2017	AVANA	0.7	0.9430985519444336	"MinTEs Reduced
Templates (RTs)"
128	Hart2017	AVANA	0.75	0.9556316686390564	"MinTEs Reduced
Templates (RTs)"
129	Hart2017	AVANA	0.8	0.9545636032545932	"MinTEs Reduced
Templates (RTs)"
130	Hart2017	AVANA	0.85	0.9667115004630092	"MinTEs Reduced
Templates (RTs)"
131	Hart2017	AVANA	0.9	0.9681007936532686	"MinTEs Reduced
Templates (RTs)"
132	Hart2017	AVANA	0.95	0.978406728698816	"MinTEs Reduced
Templates (RTs)"
133	Hart2017	KY	0.05	0.8673935156433731	"MinTEs Reduced
Templates (RTs)"
134	Hart2017	KY	0.1	0.9055356533830348	"MinTEs Reduced
Templates (RTs)"
135	Hart2017	KY	0.15	0.9203573054754252	"MinTEs Reduced
Templates (RTs)"
136	Hart2017	KY	0.2	0.9273631980281692	"MinTEs Reduced
Templates (RTs)"
137	Hart2017	KY	0.25	0.9401095981892854	"MinTEs Reduced
Templates (RTs)"
138	Hart2017	KY	0.3	0.9375793475598772	"MinTEs Reduced
Templates (RTs)"
139	Hart2017	KY	0.35	0.9484197211671184	"MinTEs Reduced
Templates (RTs)"
140	Hart2017	KY	0.4	0.9502717362625656	"MinTEs Reduced
Templates (RTs)"
141	Hart2017	KY	0.45	0.9602943185015604	"MinTEs Reduced
Templates (RTs)"
142	Hart2017	KY	0.5	0.9635599381778986	"MinTEs Reduced
Templates (RTs)"
143	Hart2017	KY	0.55	0.9609663769799452	"MinTEs Reduced
Templates (RTs)"
144	Hart2017	KY	0.6	0.9670078124601968	"MinTEs Reduced
Templates (RTs)"
145	Hart2017	KY	0.65	0.97322730034449	"MinTEs Reduced
Templates (RTs)"
146	Hart2017	KY	0.7	0.975812471222453	"MinTEs Reduced
Templates (RTs)"
147	Hart2017	KY	0.75	0.9766294037719956	"MinTEs Reduced
Templates (RTs)"
148	Hart2017	KY	0.8	0.9776544750998412	"MinTEs Reduced
Templates (RTs)"
149	Hart2017	KY	0.85	0.9829833687755104	"MinTEs Reduced
Templates (RTs)"
150	Hart2017	KY	0.9	0.9856302397895336	"MinTEs Reduced
Templates (RTs)"
151	Hart2017	KY	0.95	0.9897114394789668	"MinTEs Reduced
Templates (RTs)"
